obj,n,att.M,att.SD,ex.M,ex.SD,cert.M,cert.SD,know.M,know.SD,imp.M,imp.SD,cogaff.M,cogaff.SD,moral.M,moral.SD,self.M,self.SD,conabs.M,conabs.SD,stab.M,stab.SD,resp.time.M,resp.time.SD,cor.ideo,cor.age,cor.big5.EX,cor.big5.AG,cor.big5.CO,cor.big5.ES,cor.big5.OP,gender.diff
AMAZON ALEXA,36,5.194444444444445,1.39015815019,1.5833333333333333,0.9063269671749657,5.333333333333333,1.2649110640673518,5.333333333333333,1.3093073414159542,4.25,1.6278820596099706,3.861111111111111,1.7096829744183197,2.0555555555555554,1.0939951539314041,1.8333333333333333,1.0555973258234952,3.75,1.7788439263425317,3.0833333333333335,1.0790207200446682,38.64725,23.113535943097435,0.1058348200622296,-0.31343393146212783,0.14928930228640885,0.07568730657377827,0.028638069316401428,0.030750050941186127,0.28334537899785445,0.1293791185801055
AMAZON.COM,34,4.5,1.619015787820527,1.4411764705882353,0.859569182809418,5.588235294117647,1.1313078261483283,5.676470588235294,1.1206218034562159,5.117647058823529,1.249598866117927,3.264705882352941,1.5037090210424189,2.588235294117647,1.351041058946397,1.8529411764705883,1.076817784905823,3.2941176470588234,1.749968168796323,2.9411764705882355,0.8507100944999627,38.27355882352941,29.157885155457677,0.2148946858197874,0.12002047447014842,0.4732017433678206,0.4538450131499673,0.390094663267386,0.5527289144316611,0.2383582734566842,-0.013427772682927866
AMBULANCES,36,6.138888888888889,1.046156988431681,2.1944444444444446,0.9202311648848874,6.055555555555555,1.0939951539314041,5.166666666666667,1.1832159566199232,6.277777777777778,1.0852547064066471,3,1.6733200530681511,2.8055555555555554,1.2146591395930075,2.4166666666666665,1.3389761547007262,2.6666666666666665,1.867006771737662,1.8611111111111112,1.334225891728507,30.7285,19.03282647502917,-0.2327871892075417,0.0342131425714296,-0.32493444405937943,0.43462819788149265,0.10624006461196668,0.06346627567853273,0.09372828756757962,0.11408266488217757
AMERICA'S GOT TALENT,33,4.363636363636363,1.6736595722058785,1.3333333333333333,1.050793351076541,5.121212121212121,1.6155025486976133,4.2727272727272725,1.790124424319565,3.090909090909091,2.0056737702645644,4.606060606060606,1.1973771841872223,1.696969696969697,1.2115292114938996,1.4545454545454546,0.9384464919119354,3.4545454545454546,1.6410916544123362,2.1515151515151514,1.1758298165873144,49.291666666666664,91.68699272854447,0.3271807413952797,0.03929547306763078,0.44722784181838404,0.19493845117539751,0.3374288850056502,0.19501911280962894,0.050033067952440946,0.4652096529664797
AMERICAN AIRLINES,35,4.2,0.9009798587550961,0.6571428571428571,0.6390644422470537,4.514285714285714,1.336620597570133,4.085714285714285,1.4424535586657767,4.457142857142857,1.5018196246134052,3.7142857142857144,1.2022388079165072,1.9428571428571428,1.1099246700156022,1.6571428571428573,1.0831016774511426,3.2285714285714286,1.5162980128805637,2.7142857142857144,0.8250286473253902,46.06497142857143,89.13250583210889,-0.24882720641040715,0.15821716248471637,0.0738763438516298,0.16694609533848764,0.09472707147023973,-0.01707398331419941,-0.02976849332244827,0.17610638660254865
AMERICAN BAR ASSOCIATION,36,4.916666666666667,1.1801936887041646,1.1944444444444444,0.8886408384057868,4.5,1.7968225924034427,3.7222222222222223,1.7006068011340811,5.277777777777778,1.3650978219497911,3.638888888888889,1.4570572648375468,2.25,1.2041594578792296,1.75,1.02469507659596,3.5,1.6818357317441643,2.0555555555555554,1.067559150437361,40.61258333333333,35.22408352685905,-0.20717604507186932,0.07997415652824044,-0.03436734241387433,0.0427687819343689,-0.16822033098578099,-0.05621409125429711,0.11619781348242421,0.9907222880752342
ANCIENT GREECE,33,5.121212121212121,1.0827504259285632,1.1818181818181819,1.014105068969232,5,1.4361406616345072,4.363636363636363,1.6358900829934644,5.2727272727272725,1.5666989036012806,2.727272727272727,1.6254370041762476,1.8484848484848484,1.0642254261084714,1.5454545454545454,0.9711754826918862,4.424242424242424,1.8713348015237519,1.606060606060606,0.8992842271563097,40.193090909090905,19.882713907694473,-0.04582507259660673,0.09953453866840897,-0.17660429981922596,0.08741229739990784,0.33303419285671143,0.20351134977296376,-0.03154710188797906,0.019954191477012113
ANIMAL CONTROL WORKERS,69,5.36231884057971,1.2363491617608964,1.565217391304348,0.9622012274186911,5.231884057971015,1.4566776010561104,4.188405797101449,1.5743846820344523,5.666666666666667,0.9650764472411539,3.449275362318841,1.470656434906235,2.608695652173913,1.1403997145524927,2.0144927536231885,1.1179386706211782,3.1159420289855073,1.7195778541810605,2.028985507246377,1.0706102505629211,42.050391304347826,34.52817076815146,-0.04553979974305001,0.3739015912817501,-0.003980274926846926,0.15663606857630705,0.16407178139512657,0.15923314893681464,-0.06816351896062489,-0.20469211834534648
ANIMAL SHELTERS,33,5.9393939393939394,1.1163387125832918,2.0606060606060606,0.8638357026727486,5.878787878787879,1.2185435916898848,5.242424242424242,1.0009465217452627,6,1.1989578808281798,4.515151515151516,1.6605950010691222,3.606060606060606,0.9333874443188751,3.0606060606060606,1.0879853497231113,2.6666666666666665,1.5942605391424158,2.121212121212121,1.2931931351690995,27.166545454545457,15.964759164897597,0.011906651999543166,0.33301617091441965,0.12636967368337218,0.2753834693795994,0.4606501995685195,0.22504277968599784,0.48405952819976805,-0.39319772836468214
ANIMAL TESTING,32,2.96875,1.6359741105294363,1.59375,1.073414058942533,5.28125,1.650696334004766,4.375,1.3619246343602935,4.90625,1.6725367058029144,3.96875,1.7502879947357604,3.5,1.1639753904947558,3.03125,1.2309025013143549,3.8125,1.5951033943634116,2.9375,1.1622419935679933,45.26453125,55.56418362171245,0.41659896143603,-0.14586072233913994,0.06260419409882702,-0.2179680314952213,0.20008629011024573,-0.045302198052094206,-0.2768844836013056,-0.7508432096379787
